年月日时分	站点名称	气温	降水	瞬时风向	瞬时风速	瞬时能见度	相对湿度	瞬时气压	一小时最高气温	一小时最低气温	一小时最大风速	一小时最大风速时风向
201408151450	交大	25.5	0	130	0.8	////	////	////	25.7	25.5	2.2	38
201408151500	交大	25.7	0	173	0.9	////	////	////	25.7	25.5	2.2	38
201408151510	交大	25.9	0	209	1.1	////	////	////	25.9	25.7	1.6	198
201408151520	交大	26	0	164	0	////	////	////	26.1	25.7	1.6	198
201408151530	交大	26.2	0	156	0	////	////	////	26.2	25.7	1.6	198
201408151540	交大	26.3	0	71	1.4	////	////	////	26.3	25.7	2.1	164
201408151550	交大	25.8	0	88	1.9	////	////	////	26.3	25.7	3.9	77
201408151600	交大	25.4	0	83	2.8	////	////	////	26.3	25.4	3.9	77
201408151610	交大	25.3	0	83	1	////	////	////	25.4	25.3	3.1	85
201408151630	交大	25.1	0	116	0.4	////	////	////	25.4	25.1	3.7	91
201408151640	交大	25.1	0	88	0.8	////	////	////	25.4	25.1	3.7	91
201408151650	交大	25.1	0	130	0.6	////	////	////	25.4	25.1	3.7	91
201408151700	交大	25.1	0	105	2.3	////	////	////	25.4	25.1	3.7	91
201408151710	交大	25	0	161	1	////	////	////	25.1	25	2.9	108
201408151720	交大	25	0	99	0.6	////	////	////	25.1	25	2.9	108
201408151730	交大	24.9	0	113	1.3	////	////	////	25.1	24.9	2.9	108
201408151740	交大	25	0	105	1	////	////	////	25.1	24.9	2.9	108
201408151800	交大	24.9	0	113	1.5	////	////	////	25.1	24.9	2.9	108
201408151810	交大	24.9	0	153	2.2	////	////	////	24.9	24.9	2.6	139
201408151820	交大	24.8	0	119	1.1	////	////	////	24.9	24.8	2.6	113
201408151830	交大	24.7	0	105	0.9	////	////	////	24.9	24.7	2.6	113
201408151840	交大	24.6	0	128	1.4	////	////	////	24.9	24.6	2.6	113
201408151850	交大	24.5	0	144	1.9	////	////	////	24.9	24.5	2.6	113
201408151900	交大	24.5	0	161	1.3	////	////	////	24.9	24.5	2.7	133
201408151910	交大	24.4	0	119	1	////	////	////	24.5	24.4	2.3	119
201408151920	交大	24.4	0	147	1.8	////	////	////	24.5	24.4	2.3	119
201408151930	交大	24.4	0	173	0.9	////	////	////	24.5	24.4	2.3	119
201408151940	交大	24.4	0	164	1.5	////	////	////	24.5	24.4	2.3	119
201408151950	交大	24.4	0	147	1.3	////	////	////	24.5	24.4	2.7	161
201408152000	交大	24.4	0	128	0.6	////	////	////	24.5	24.4	2.7	161
201408152010	交大	24.4	0	153	0.9	////	////	////	24.4	24.4	2.2	164
201408152020	交大	24.4	0	133	1.6	////	////	////	24.4	24.4	2.2	164
201408152030	交大	24.3	0	130	1.2	////	////	////	24.4	24.3	2.2	164
201408152040	交大	24.3	0	130	0.7	////	////	////	24.4	24.3	2.2	164
201408152050	交大	24.3	0	130	0.9	////	////	////	24.4	24.3	2.2	164
201408152100	交大	24.3	0	119	1.2	////	////	////	24.4	24.3	2.2	164
201408152110	交大	24.3	0	156	1.5	////	////	////	24.3	24.3	1.9	147
201408152120	交大	24.3	0	139	1.5	////	////	////	24.3	24.3	2	150
201408152130	交大	24.3	0	105	0	////	////	////	24.3	24.3	2	150
201408152140	交大	24.3	0	142	1.7	////	////	////	24.3	24.3	2.2	128
201408152150	交大	24.3	0	119	0.8	////	////	////	24.3	24.3	2.2	128
201408152200	交大	24.3	0	142	1.4	////	////	////	24.3	24.3	2.2	128
201408152210	交大	24.2	0	139	1.8	////	////	////	24.2	24.2	2.3	150
201408152220	交大	24.2	0	108	1.8	////	////	////	24.2	24.2	2.6	130
201408152230	交大	24.2	0	133	1.5	////	////	////	24.2	24.2	2.7	122
201408152240	交大	24.2	0	142	1	////	////	////	24.2	24.2	2.7	122
201408152250	交大	24.2	0	142	0.6	////	////	////	24.2	24.2	2.7	122
201408152300	交大	24.3	0	147	1.8	////	////	////	24.3	24.2	2.7	122
201408152310	交大	24.3	0	170	1.9	////	////	////	24.3	24.2	2.6	167
201408152320	交大	24.3	0	128	1	////	////	////	24.3	24.2	2.6	167
201408152330	交大	24.3	0	142	1.9	////	////	////	24.3	24.2	2.6	167
201408152340	交大	24.2	0	133	1.1	////	////	////	24.3	24.2	2.6	167
201408152350	交大	24.2	0	136	1.3	////	////	////	24.3	24.2	2.6	167
201408160000	交大	24.2	0	133	0.9	////	////	////	24.3	24.2	2.6	167
201408160010	交大	24.2	0	128	1.4	////	////	////	24.2	24.2	1.7	119
201408160020	交大	24.2	0	142	0.7	////	////	////	24.2	24.2	1.7	119
201408160030	交大	24.2	0	128	1.3	////	////	////	24.2	24.2	1.7	136
201408160040	交大	24.2	0	150	1.1	////	////	////	24.2	24.2	2.2	153
201408160050	交大	24.2	0	102	1.3	////	////	////	24.2	24.2	2.2	153
201408160100	交大	24.2	0	153	1.7	////	////	////	24.2	24.2	2.2	153
201408160110	交大	24.2	0	119	1.6	////	////	////	24.2	24.2	2.2	178
201408160120	交大	24.2	0	133	1.3	////	////	////	24.2	24.2	2.6	130
201408160130	交大	24.3	0	153	1.9	////	////	////	24.3	24.2	2.8	139
201408160140	交大	24.3	0	128	1.3	////	////	////	24.3	24.2	3.3	128
201408160150	交大	24.3	0	142	1.4	////	////	////	24.3	24.2	3.3	128
201408160200	交大	24.2	0	175	1.3	////	////	////	24.3	24.2	3.3	128
201408160210	交大	24.2	0	156	1.1	////	////	////	24.2	24.2	2.6	125
201408160220	交大	24.2	0	125	0	////	////	////	24.2	24.2	2.6	125
201408160230	交大	24.2	0	128	1.4	////	////	////	24.2	24.2	2.6	125
201408160240	交大	24.2	0	142	1.2	////	////	////	24.2	24.2	2.6	125
201408160250	交大	24.1	0	142	1.6	////	////	////	24.2	24.1	2.6	144
201408160300	交大	24.1	0	142	1.1	////	////	////	24.2	24.1	2.6	144
201408160310	交大	24.1	0	128	1.4	////	////	////	24.1	24.1	2.6	122
201408160320	交大	24.1	0	144	0.9	////	////	////	24.1	24.1	2.6	122
201408160330	交大	24.1	0	94	0	////	////	////	24.1	24.1	2.6	122
